Date,Price,LTH Supply,Log Price,Log Supply,Normalized Ratio
2015-06-27,251.529326709527,10827980,2.400588628300885,1.0345474449283858,0.9575779208004336
2015-06-28,249.058285797779,10834190,2.3963009946385485,1.0347964475727653,0.9621145571071497
2015-06-29,256.65022238457,10834600,2.4093416449082943,1.034812882337937,0.9490903416025755
2015-06-30,263.854356864991,10845750,2.4213642698104776,1.0352595895082686,0.9375144238707238
2015-07-01,258.042647574518,10850630,2.4116914892021115,1.0354549545514167,0.947382569522238
2015-07-02,254.747113383986,10852040,2.4061092715852004,1.0355113858771792,0.9530212184649116
2015-07-03,256.087042833431,10844770,2.4083876051443407,1.0352203457656055,0.9504518447941976
2015-07-04,260.50923962595,10854570,2.4158231312724086,1.0356126237069638,0.9434085966074881
2015-07-05,271.302458211572,10882820,2.4334537288256746,1.0367414460744147,0.9269068214216729
2015-07-06,269.137940093513,10880760,2.429974924117586,1.0366592310495526,0.9303034111048993
2015-07-07,266.469919053185,10878080,2.425648189998386,1.0365522483963059,0.9345231625708526
2015-07-08,270.576142898889,10880940,2.432289501558995,1.0366664155072691,0.9279960181212068
2015-07-09,269.680304792519,10883110,2.4308492303525564,1.0367530187845868,0.9295228926049632
2015-07-10,285.558780829924,10877040,2.455695519105415,1.0365107256410626,0.9044343107085804
2015-07-11,293.917453828171,10870520,2.4682253767367572,1.0362503194063544,0.89164404684253
2015-07-12,311.481879894798,10859730,2.4934327871409514,1.0358190277419825,0.866005344773964
2015-07-13,292.649223845704,10862420,2.4663473766307056,1.0359265909585418,0.893198318500769
2015-07-14,287.740951490357,10865690,2.459001675378823,1.0360573103783666,0.9006747391724765
2015-07-15,285.922885447107,10871640,2.456248917951976,1.0362950628743595,0.9036652490953161
2015-07-16,278.532749269433,10874930,2.444876265904089,1.0364264701589438,0.9151693084277879
2015-07-17,280.064724722385,10873810,2.447258411132836,1.0363817402279079,0.9127424332680047
2015-07-18,277.354635300994,10879220,2.4430354284402793,1.03659775916371,0.9171814348963636
2015-07-19,275.281989479836,10888960,2.439777798297095,1.0369864024527704,0.9208277083286083
2015-07-20,279.114393045003,10880060,2.4457822322566436,1.0366312903618913,0.9144681622781805
2015-07-21,276.652412624196,10881660,2.4419344619523273,1.0366951521496817,0.9183797943702872
2015-07-22,277.764369082408,10887610,2.4436765347660465,1.0369325558138074,0.9168751252206937
2015-07-23,276.811628579778,10893370,2.4421843304449475,1.0371622549617867,0.918597028689772
