Date,Price,STH Supply,Log Price,Log Supply,Normalized Ratio,STH Supply Percentage
2020-01-09,7817.13609322034,4422755,3.893047672916581,0.6456928821471071,-0.5437,24.37%
2020-01-10,8129.81791992987,4416079,3.910080818994408,0.6450368339596357,-0.5613,24.33%
2020-01-11,8032.00549503215,4408666,3.904823996920133,0.6443071979754569,-0.5568,24.28%
2020-01-12,8164.54999316189,4407047,3.911932252652303,0.6441476821713226,-0.5641,24.27%
2020-01-13,8121.92566762127,4408360,3.909659010481569,0.644277053091793,-0.5617,24.28%
2020-01-14,8830.16787346581,4456710,3.9459689601830985,0.649014375280405,-0.5933,24.54%
2020-01-15,8811.44820251315,4469816,3.945047292597312,0.6502896457651804,-0.5911,24.61%
2020-01-16,8718.68699801286,4475569,3.9404510867155014,0.650848257048844,-0.5859,24.64%
2020-01-17,8912.54190414962,4471915,3.95000158478959,0.6504935400971077,-0.5958,24.62%
2020-01-18,8928.1807565751,4468235,3.950762974244542,0.6501360060996538,-0.5969,24.59%
2020-01-19,8687.35483664524,4470103,3.938887560715216,0.6503175302496705,-0.5849,24.60%
2020-01-20,8636.2587862069,4474713,3.9363256475271484,0.6507651856824574,-0.5819,24.62%
2020-01-21,8730.86756019871,4473651,3.941057400393636,0.6506621007516372,-0.5867,24.62%
2020-01-22,8647.90047399182,4470393,3.9369106828133296,0.6503457043911938,-0.5829,24.60%
2020-01-23,8366.38461396844,4476877,3.922537825805772,0.6509751625194542,-0.5679,24.63%
2020-01-24,8423.39095815313,4471159,3.9254869582397047,0.6504201141969975,-0.5714,24.59%
2020-01-25,8344.77456896552,4467712,3.921414608867066,0.6500851696266321,-0.5676,24.57%
2020-01-26,8573.87480958504,4463293,3.9331771379216005,0.6496553977314992,-0.5798,24.55%
2020-01-27,8901.95928486265,4460599,3.9494856036063646,0.6493931826868102,-0.5964,24.53%
2020-01-28,9297.3883176505,4454814,3.96836097021795,0.6488295758341793,-0.6158,24.49%
2020-01-29,9311.94754354179,4473867,3.969040520826592,0.6506830691605545,-0.6147,24.60%
2020-01-30,9508.92096493279,4476479,3.978131237698404,0.6509365514770895,-0.6235,24.61%
2020-01-31,9357.28478240795,4486196,3.971149847126293,0.6518782438031148,-0.6156,24.66%
2020-02-01,9381.88602863822,4483085,3.9722901528240833,0.6515769732358571,-0.6170,24.64%
2020-02-02,9339.38706312098,4492988,3.970318374748379,0.6525352586685335,-0.6141,24.69%
2020-02-03,9279.81252051432,4583518,3.9675392022825937,0.6611989412136099,-0.6026,25.19%
2020-02-04,9161.62719772063,4577016,3.961972615614389,0.6605824306050503,-0.5977,25.15%
2020-02-05,9628.13677586207,4572872,3.983542251168866,0.660189045143707,-0.6197,25.12%
2020-02-06,9739.2804364699,4593368,3.988526871250847,0.662131240533779,-0.6227,25.23%
2020-02-07,9800.27939982466,4673733,3.9912384573325346,0.6696638984843687,-0.6179,25.67%
2020-02-08,9911.29340841613,4581042,3.9961303329398237,0.6609642735016072,-0.6315,25.16%
2020-02-09,10151.0832026885,4590684,4.00651238745615,0.6618773991089671,-0.6409,25.21%
2020-02-10,9872.36187305669,4613882,3.9944210661169706,0.6640664832487555,-0.6267,25.34%
2020-02-11,10272.2225558738,4618130,4.011664420162166,0.6644661541090899,-0.6435,25.36%
2020-02-12,10360.1352229106,4620255,4.015365423959469,0.6646659456939439,-0.6470,25.37%
2020-02-13,10235.4973226184,4625820,4.010108949023115,0.6651887294878523,-0.6412,25.39%
2020-02-14,10361.6156901812,4631403,4.015427480372564,0.6657125726288109,-0.6460,25.42%
2020-02-15,9911.72432700175,4634250,3.9961492145820046,0.6659794586062783,-0.6265,25.44%
2020-02-16,9952.04661157218,4633611,3.9979124014204155,0.6659195711793141,-0.6283,25.43%
2020-02-17,9683.0796277031,4635559,3.986013503239182,0.6661021130170844,-0.6162,25.44%
2020-02-18,10195.3037904734,4635294,4.008400171022506,0.6660772850885787,-0.6386,25.43%
2020-02-19,9636.00229865576,4643429,3.9838968949266995,0.6668388093878845,-0.6134,25.48%
2020-02-20,9614.03012244302,4670249,3.9829054785155624,0.6693400361213911,-0.6099,25.62%
2020-02-21,9701.79750268849,4669227,3.9868522057278137,0.6692449881845954,-0.6139,25.61%
2020-02-22,9675.24905756868,4659646,3.985662153322533,0.6683529239676012,-0.6136,25.56%
2020-02-23,9972.84242308591,4658944,3.998818956980232,0.6682874903071712,-0.6268,25.55%
2020-02-24,9648.00788310929,4662887,3.9844376496457308,0.6686548909271292,-0.6121,25.57%
2020-02-25,9344.28714009351,4671503,3.9705461753849898,0.6694566320840282,-0.5974,25.61%
2020-02-26,8798.88894856809,4659062,3.9444278364718435,0.6682984898169091,-0.5724,25.54%
2020-02-27,8779.02948188194,4580521,3.9434465074823883,0.6609148785620504,-0.5788,25.11%
2020-02-28,8750.59344599649,4551530,3.9420375069174027,0.6581574095941836,-0.5802,24.95%
2020-02-29,8582.09029964933,4535688,3.933593079811324,0.6566431727502346,-0.5733,24.86%
2020-03-01,8541.77389392169,4518170,3.931548071197363,0.6549625675920792,-0.5729,24.76%
2020-03-02,8906.21475645821,4525743,3.9496931631082806,0.6556898883613411,-0.5903,24.80%
2020-03-03,8768.81061420222,4541851,3.942940690433455,0.6572328826491879,-0.5820,24.89%
2020-03-04,8756.36957218001,4539455,3.9423240831575765,0.657003715257893,-0.5816,24.87%
2020-03-05,9062.61580274693,4554279,3.957253569060171,0.6584196324383093,-0.5951,24.95%
2020-03-06,9147.08505897136,4554733,3.961282717619004,0.6584629235647118,-0.5991,24.95%
