Date,BTC Price,Stock/Flow,Model Variance
2011-08-16,10.9639640561075,5.4955485208884784,0.6906754953879521
2011-08-17,10.8584714558738,5.506968540489342,0.6789312570564188
2011-08-18,11.6704730432496,5.534593933674888,0.7460437803734343
2011-08-19,11.4597317393337,5.554223002488412,0.7242807628085697
2011-08-20,11.3544813407364,5.582360703853235,0.7100007456517565
2011-08-21,10.9208958246639,5.609494219418772,0.6662174436738153
2011-08-22,10.9172450543542,5.639415974992712,0.6605631444728639
2011-08-23,10.870444289889,5.67302746167833,0.6503246542317329
2011-08-24,9.5460936735827,5.70516283157356,0.5147605065850767
2011-08-25,8.12692016306254,5.725588216174601,0.3502367387106231
2011-08-26,8.59649760666277,5.749798237623856,0.40219010018466617
2011-08-27,9.03086639976622,5.7730024321111415,0.4474560122748614
2011-08-28,8.96115727060199,5.7893800157984625,0.4368741709061119
2011-08-29,8.80994873816481,5.813599182425728,0.4156817616457029
2011-08-30,8.19915176446523,5.8293864538218365,0.3411189502190122
2011-08-31,8.23428166510813,5.849177626506994,0.34200505563335515
2011-09-01,8.6214244377557,5.8667004049387215,0.38495795482186823
2011-09-02,8.44965344067796,5.890554033130107,0.3607753710009298
2011-09-03,8.20347060227937,5.912071272658226,0.3275610697431164
2011-09-04,7.5973325251315,5.928131144812841,0.24808819145460537
2011-09-05,6.84653002893045,5.945582068180503,0.1410935245957372
2011-09-06,7.16297027352426,5.966919522379606,0.18269393628698616
2011-09-07,6.67818000029223,5.981439607766034,0.11018421930522271
2011-09-08,4.98677704178843,6.003068703103245,-0.18548097131727603
2011-09-09,4.74284665517242,6.0237274907031715,-0.23906873660142902
2011-09-10,5.85290397253068,6.0504339105236244,-0.033192046582562584
2011-09-11,6.09062947223846,6.074239886789923,0.0026945781136724634
2011-09-12,5.80252327703098,6.105362564602153,-0.050874623229987925
2011-09-13,5.59743261016949,6.126552789509015,-0.09032421081008746
2011-09-14,4.86775518468732,6.159917044600489,-0.23543042754647603
2011-09-15,4.83116810052601,6.196927857102414,-0.24896538114371491
2011-09-16,4.775285635301,6.23968105893793,-0.26747527767054713
2011-09-17,5.23673227819988,6.270476471267865,-0.18015465120913765
2011-09-18,5.52037669199299,6.30532220414165,-0.1329479718040667
2011-09-19,6.14666555172414,6.329093740720049,-0.02924730891331384
2011-09-20,5.59706749795441,6.3524183889541,-0.12659278955116315
2011-09-21,5.47504877673875,6.3928311169341825,-0.1549760399069111
2011-09-22,5.56342141963764,6.43456035895827,-0.1454702361796001
2011-09-23,5.45788968731736,6.471150171661871,-0.1702916517862949
2011-09-24,5.34115488135593,6.505849613525894,-0.19725981323435748
2011-09-25,4.87382608123904,6.54848181303435,-0.2953539669079639
2011-09-26,4.91115779251899,6.586492787593844,-0.29351128769219637
2011-09-27,4.76341532144945,6.607492440853506,-0.32723930800423684
2011-09-28,4.77766097837522,6.627370617835258,-0.3272570453019843
2011-09-29,5.14368590999416,6.650316788548294,-0.2568945653256267
2011-09-30,5.03407054471069,6.652754475681035,-0.27880206551285047
2011-10-01,5.00706259672706,6.6661916180402905,-0.2861992899405108
2011-10-02,5.02284486031561,6.684390934421463,-0.28577861868794363
2011-10-03,4.95680562068966,6.700865887624378,-0.30147524983050533
2011-10-04,4.88506713091759,6.724662470289892,-0.31959870628114806
2011-10-05,4.73016629573349,6.7485208054589725,-0.3553629813915882
2011-10-06,4.27603575686733,6.76858988196257,-0.4592664206550552
2011-10-07,3.98125299415546,6.793769803492494,-0.5344093944384114
2011-10-08,4.11163464348334,6.823673310395613,-0.506577262507856
2011-10-09,4.07496248392753,6.848548469618436,-0.5191751873219024
2011-10-10,4.00892449590883,6.878386522909317,-0.5398611075869135
2011-10-11,4.16623534248977,6.909468180720291,-0.5058798386220555
2011-10-12,4.03698109000584,6.954745667126916,-0.5439270986670703
2011-10-13,3.98628088544711,6.982537598487508,-0.5605537161892571
2011-10-14,3.83733856049094,7.037729521998197,-0.6065065639713156
2011-10-15,3.60974171654003,7.100574268170084,-0.6765394404968927
2011-10-16,2.58124672180012,7.157329832797295,-1.0198644753156034
2011-10-17,2.42227473816482,7.2165237307512555,-1.091666286104298
2011-10-18,2.21725471303331,7.2761127197978706,-1.1883269376434507
2011-10-19,2.35612350847458,7.313665603732463,-1.132726911289192
2011-10-20,2.57009230508475,7.339110571003655,-1.0492758450339454
2011-10-21,3.15548613851549,7.377067105640883,-0.84923357923266
2011-10-22,3.14775092986558,7.4233649173910585,-0.8579442399862467
2011-10-23,2.52293599766219,7.46491208190222,-1.084790351764155
2011-10-24,2.80192383109293,7.519630265283636,-0.987210706121231
2011-10-25,2.7775052390415,7.567667936946781,-1.0023318247601767
2011-10-26,3.04540782758621,7.622239482820764,-0.9174353961836534
2011-10-27,3.17963943658679,7.677523962654195,-0.881529288838818
2011-10-28,3.56918896873174,7.741939583771367,-0.7743138580717892
2011-10-29,3.25740372296902,7.7805556974257675,-0.8706972879606527
2011-10-30,3.26509821274109,7.813711946367075,-0.8725902894182365
2011-10-31,3.17100774284044,7.841929959231393,-0.9054355350178178
2011-11-01,3.2558005666277,7.874459437211705,-0.8831863442332597
2011-11-02,3.16831638515488,7.918501306179505,-0.9160016208855142
2011-11-03,3.12011817182934,7.964057071455829,-0.9370676756656044
2011-11-04,2.97781759789597,8.009758807750291,-0.9894699667160047
2011-11-05,2.96272057685564,8.065076845526068,-1.0014352797932202
2011-11-06,3.01775768731736,8.137129500039793,-0.9919234085860886
2011-11-07,3.05656711104617,8.182723310148656,-0.9847325911350993
