Date,BTC Price,Bubble Index,Google Trends,Difficulty,Transactions,Sent By Address,Tweets
2010-11-14,0.278,-26.95325076,0.0381,4536,160,400,0
2010-11-15,0.274,-29.24743545,0.232,4536,4671,4121,0
2010-11-16,0.246,-29.35309334,0.0761,4536,8908,3006,0
2010-11-17,0.226,-27.72586587,0.0444,4536,188,453,0
2010-11-18,0.245,-28.72822621,0.0476,4917,1237,412,0
2010-11-19,0.274,-29.29304824,0.0634,6867,9482,357,0
2010-11-20,0.282,-29.29052928,0.0571,6867,9615,610,0
2010-11-21,0.277,-29.30203015,0.0381,6867,9904,528,0
2010-11-22,0.28,-26.88736374,0.0285,6867,180,370,0
2010-11-23,0.283,-26.94015114,0.0603,6867,201,369,0
2010-11-24,0.283,-29.09314531,0.0634,6867,3759,544,0
2010-11-26,0.282,-28.70065189,0.133,6867,1120,870,0
2010-11-27,0.284,-27.49580086,0.0761,6867,265,474,0
2010-11-28,0.277,-27.61554601,0.0381,6867,282,480,0
2010-11-29,0.254,-27.66937108,0.0888,6867,245,469,0
2010-11-30,0.219,-28.02305461,0.133,7167,252,498,0
2010-12-01,0.219,-28.29102493,0.0888,8078,324,589,0
2010-12-02,0.242,-27.84604306,0.0603,8078,272,477,0
2010-12-03,0.251,-27.37116982,0.0793,8078,195,410,0
2010-12-04,0.23,-27.69882858,0.0761,8078,189,459,0
2010-12-05,0.205,-27.93303869,0.0729,8078,195,454,0
2010-12-06,0.215,-28.02125883,0.0285,8078,224,493,0
2010-12-07,0.213,-28.47621449,0.105,8078,334,644,0
2010-12-08,0.239,-28.17107274,0.171,8078,285,575,0
2010-12-09,0.213,-28.28323341,0.0761,8228,263,524,0
2010-12-10,0.202,-28.10961714,0.0634,12252,226,430,0
2010-12-11,0.216,-28.6365637,0.0571,12252,375,708,0
2010-12-12,0.214,-28.72036441,0.317,12252,472,747,0
2010-12-13,0.22,-28.75719351,0.222,12252,505,766,0
2010-12-14,0.238,-28.69979918,0.0444,12252,482,794,0
2010-12-15,0.242,-28.61490344,0.108,12252,446,772,0
2010-12-16,0.244,-28.34647168,0.092,12252,358,606,0
2010-12-17,0.245,-28.11033892,0.0476,12252,296,514,0
2010-12-18,0.245,-28.27736948,0.0983,12252,338,589,0
2010-12-19,0.244,-28.34436809,0.213,12252,367,620,0
2010-12-20,0.254,-28.89403445,0.092,12252,773,1027,0
2010-12-21,0.25,-28.57114338,0.0793,12607,434,762,0
2010-12-22,0.247,-28.68308968,0.0476,14484,502,799,0
2010-12-23,0.249,-28.46222603,0.206,14484,374,708,0
2010-12-24,0.249,-28.38875581,0.143,14484,383,626,0
2010-12-25,0.249,-28.7600272,0.0952,14484,466,831,0
2010-12-26,0.257,-28.69860359,0.149,14484,439,773,0
2010-12-27,0.258,-28.490159,0.0507,14484,360,628,0
2010-12-28,0.272,-28.72762122,0.0507,14484,492,789,0
2010-12-29,0.286,-28.31080339,0.0666,14484,348,623,0
2010-12-30,0.296,-28.46568666,0.121,14484,424,718,0
2010-12-31,0.3,-28.35740533,0.0603,14484,393,668,0
2011-01-01,0.296,-28.63963609,0.0427,14484,478,823,0
2011-01-02,0.297,-28.40079875,0.0381,14484,394,685,0
2011-01-03,0.293,-29.046019,0.0863,15910,972,956,0
2011-01-04,0.297,-28.95294996,0.0717,16307,838,845,0
2011-01-05,0.294,-29.29318311,0.0517,16307,1156,1035,0
2011-01-06,0.299,-28.89251255,0.135,16307,553,775,0
2011-01-07,0.309,-29.05602072,0.15,16307,856,935,0
2011-01-08,0.316,-29.23229876,0.0365,16307,1266,1199,0
2011-01-09,0.323,-29.07396722,0.126,16307,1060,1069,0
2011-01-10,0.325,-29.12468452,0.0996,16307,1150,1126,0
2011-01-11,0.327,-29.18438761,0.0552,16307,1190,1174,0
2011-01-12,0.323,-29.10099826,0.0565,16307,995,974,0
2011-01-13,0.318,-29.18054054,0.0831,16307,1078,1083,0
2011-01-14,0.359,-29.02766721,0.0717,16307,1081,1041,0
2011-01-15,0.393,-28.78754248,0.0539,17203,805,1107,0
2011-01-16,0.393,-28.75375434,0.027,18438,757,1130,0
2011-01-17,0.368,-28.73815641,0.0479,18438,649,1025,0
2011-01-18,0.331,-28.94442633,0.0758,18438,677,1054,0
2011-01-19,0.313,-29.10526226,0.0758,18438,748,1157,0
2011-01-20,0.351,-28.94550845,0.0837,18438,738,1137,0
2011-01-21,0.405,-28.98484578,0.129,18438,992,1411,0
2011-01-22,0.427,-29.06877689,0.11,18438,1257,1594,0
2011-01-23,0.443,-28.82091868,0.066,18438,911,1318,0
2011-01-24,0.431,-29.02563834,0.0752,18438,1131,1585,0
2011-01-25,0.415,-28.69078067,0.0422,18438,733,1075,0
2011-01-26,0.414,-28.79323123,0.098,18438,825,1171,0
2011-01-27,0.415,-28.63689162,0.0565,20538,681,1058,0
2011-01-28,0.434,-28.82023509,0.107,22012,923,1339,0
2011-01-29,0.442,-28.94591788,0.0848,22012,1186,1615,0
2011-01-30,0.462,-29.28160937,0.0753,22012,2436,2802,0
2011-01-31,0.5,-28.87187945,0.0468,22012,1223,1672,0
2011-02-01,0.626,-28.18651458,0.0545,22012,849,1266,0
2011-02-02,0.713,-27.62845322,0.0682,22012,738,1076,0
2011-02-03,0.706,-27.33946383,0.0273,22012,629,953,0
2011-02-04,0.766,-27.50806846,0.109,22012,760,1122,0
2011-02-05,0.88,-26.85420021,0.0682,22012,653,1009,0
2011-02-06,0.91,-26.97500132,0.123,22012,732,1057,0
2011-02-07,0.895,-26.91556258,0.0955,22012,689,1046,0
2011-02-08,0.904,-26.8495804,0.0545,25002,678,1038,0
2011-02-09,0.998,-27.5402711,0.205,25998,1035,1588,0
2011-02-10,1.03,-28.21045565,0.545,25998,1848,2625,0
2011-02-11,1.025,-28.36272552,0.6,25998,2169,2964,0
2011-02-12,1.045,-28.11706526,0.655,25998,1716,2455,0
2011-02-13,1.051,-28.09228406,0.382,25998,1624,2311,0
2011-02-14,1.055,-28.20977747,0.382,25998,1810,2516,0
2011-02-15,1.053,-28.30343901,0.395,25998,1999,2681,0
2011-02-16,1.048,-28.23923103,0.205,25998,1858,2407,0
2011-02-17,1.043,-28.34269092,0.368,25998,2019,2753,0
2011-02-18,0.965,-28.42040419,0.245,34091,1844,2640,0
2011-02-19,0.893,-28.21870969,0.259,36460,1422,2030,0
2011-02-20,0.899,-28.40689461,0.382,36460,1741,2441,0
2011-02-21,0.833,-28.50016783,0.573,36460,1776,2522,0
2011-02-22,0.86,-28.62363399,0.259,36460,1985,2803,0
2011-02-23,0.905,-28.58650026,0.259,36460,2020,2905,0
2011-02-24,0.968,-28.40611441,0.491,36460,1902,2747,0
2011-02-25,0.941,-28.42297377,0.355,36460,1835,2598,0
2011-02-26,0.935,-28.35998933,0.382,36460,1676,2432,0
2011-02-27,0.924,-28.58551619,0.218,44849,2025,2762,0
2011-02-28,0.875,-28.38383567,0.382,55590,1570,2196,0
2011-03-01,0.89,-28.85891662,0.232,55590,2599,3621,0
2011-03-02,0.93,-28.48926822,0.3,55590,1841,2574,0
