Date,AHR999 Index
2011/02/01,4.441692296429609
2011/02/02,5.642181244439729
2011/02/03,5.427539818607717
2011/02/04,6.2714698733923
2011/02/05,8.115163455685531
2011/02/06,8.505925402583427
2011/02/07,8.058781794998078
2011/02/08,8.046929448323338
2011/02/09,9.595568993463909
2011/02/10,9.993938968795383
2011/02/11,9.677817650590951
2011/02/12,9.839835383888195
2011/02/13,9.737187267837877
2011/02/14,9.602562805510031
2011/02/15,9.363779854219
2011/02/16,9.079189603942192
2011/02/17,8.79948366738735
2011/02/18,7.373732112976781
2011/02/19,6.183093986522385
2011/02/20,6.135801345599003
2011/02/21,5.16008682894612
2011/02/22,5.387740155238771
2011/02/23,5.841995673873578
2011/02/24,6.542304694721083
2011/02/25,6.055469456775053
2011/02/26,5.857264882782994
2011/02/27,5.602322489012704
2011/02/28,4.923745535159944
2011/03/01,4.99078654540409
2011/03/02,5.338255536743021
2011/03/03,5.184499049463784
2011/03/04,4.8616548222106974
2011/03/05,4.80577020985543
2011/03/06,4.657833718493538
2011/03/07,4.296334660402703
2011/03/08,4.21003123164749
2011/03/09,3.940114544480495
2011/03/10,4.238164204559361
2011/03/11,4.024455650565083
2011/03/12,4.068698114699745
2011/03/13,3.9600327444974277
2011/03/14,3.8625419051567453
2011/03/15,3.6837268753375194
2011/03/16,3.4560382108363012
2011/03/17,3.1710670016334177
2011/03/18,3.093289589730982
2011/03/19,2.5978669371389627
2011/03/20,2.429656182132366
2011/03/21,2.4266220463061243
2011/03/22,2.5311488276378067
2011/03/23,2.780124683801679
2011/03/24,2.8504127070091982
2011/03/25,2.966457319946143
2011/03/26,2.8666741646603873
2011/03/27,2.5321370452944807
2011/03/28,2.3864320791154903
2011/03/29,2.264647105547139
2011/03/30,2.192381818461732
2011/03/31,2.1275583276981225
2011/04/01,2.022795047773418
2011/04/02,1.9985546952915316
2011/04/03,1.9694050202149562
2011/04/04,1.6871533859341614
2011/04/05,1.5257025015365013
2011/04/06,1.689930786003209
2011/04/07,1.6884950222400004
2011/04/08,1.660213027547684
2011/04/09,1.5767623943267435
2011/04/10,1.5589394176129798
2011/04/11,1.5702237762119784
2011/04/12,1.8208624804561158
2011/04/13,2.1116562401429793
2011/04/14,2.451237889095184
2011/04/15,2.525888931712722
2011/04/16,2.5839568679063847
2011/04/17,2.852612476495213
2011/04/18,3.165214300036745
2011/04/19,3.260880268238451
2011/04/20,3.0943750651202246
2011/04/21,3.101217398814268
2011/04/22,3.7634207738140395
2011/04/23,5.121919880486243
2011/04/24,6.163496436881154
2011/04/25,5.204200973833744
2011/04/26,5.693069489653894
2011/04/27,6.63168724791274
2011/04/28,8.010395144024905
2011/04/29,12.116379363992136
2011/04/30,18.852245059531615
2011/05/01,18.9977936240035
2011/05/02,17.231949247719783
2011/05/03,18.527410622811665
2011/05/04,19.59734432631531
2011/05/05,18.31227465851404
2011/05/06,18.149302461096486
2011/05/07,19.3382222077143
2011/05/08,21.127362790314084
2011/05/09,21.516835319313124
2011/05/10,32.98160749416962
2011/05/11,44.31058436116621
2011/05/12,46.969675094809176
2011/05/13,69.27473647849611
2011/05/14,75.08592940637794
2011/05/15,61.06063640167627
2011/05/16,68.6502178842787
2011/05/17,68.86992004819312
2011/05/18,57.2833810568097
2011/05/19,51.535344121833624
2011/05/20,42.34281755605889
2011/05/21,38.229359198260696
2011/05/22,43.22841620028702
2011/05/23,49.10466914592157
2011/05/24,53.1372792906792
2011/05/25,61.7850463355076
2011/05/26,69.576023280179
2011/05/27,69.17278857829432
2011/05/28,64.77744728360538
2011/05/29,62.0743944030993
2011/05/30,64.58995415779466
2011/05/31,65.19602328429164
2011/06/01,69.35696990639504
2011/06/02,82.34479126610516
2011/06/03,121.84745591363304
2011/06/04,208.3709082465141
2011/06/05,236.5406705996604
2011/06/06,224.67757196170243
2011/06/07,312.7790719422392
2011/06/08,490.363443410312
2011/06/09,573.3169133618563
2011/06/10,449.62454911659927
2011/06/11,233.1633758728522
2011/06/12,168.85954499740956
2011/06/13,218.3292951030415
2011/06/14,220.0806272723157
2011/06/15,210.69382108189996
2011/06/16,181.68263542905098
2011/06/17,141.7317998793634
2011/06/18,139.56213320228528
2011/06/19,148.0621925230375
2011/06/20,141.00567549498535
2011/06/21,137.1702479981794
2011/06/22,133.3818273431863
2011/06/23,129.6243714492229
2011/06/24,126.0036748298688
2011/06/25,122.47926798976414
2011/06/26,118.84344706975868
2011/06/27,110.42142141058925
2011/06/28,110.56807616338436
2011/06/29,108.12803362913688
2011/06/30,99.88118799399952
2011/07/01,88.64676985131226
2011/07/02,82.4570829174042
2011/07/03,80.61108702454926
2011/07/04,70.83151096806536
2011/07/05,57.646674161340144
2011/07/06,60.06655333214667
2011/07/07,66.17359186515561
2011/07/08,62.767411043624435
2011/07/09,59.46583228511938
2011/07/10,60.26713257440286
2011/07/11,58.01577126424419
2011/07/12,53.08713742926292
2011/07/13,50.82377457427868
2011/07/14,49.47519695647627
2011/07/15,47.642820616939844
2011/07/16,45.492572497301836
2011/07/17,42.27494277377109
2011/07/18,40.484281409955024
2011/07/19,41.50976279485758
2011/07/20,41.22047386685039
2011/07/21,39.47724586377808
2011/07/22,38.416102602412586
2011/07/23,37.654775797544694
2011/07/24,37.48741951854603
2011/07/25,37.49532478309646
2011/07/26,36.25633032007878
2011/07/27,35.12741713427797
2011/07/28,33.185819389182726
2011/07/29,31.445903337498535
2011/07/30,30.774581956537702
2011/07/31,29.695404274059417
2011/08/01,28.021875176487217
2011/08/02,24.737867640433613
2011/08/03,17.367274254429688
2011/08/04,15.015864311276896
2011/08/05,15.376564384257858
2011/08/06,9.48701371578292
2011/08/07,7.28927389247226
2011/08/08,8.43650121836526
2011/08/09,10.600581701120538
2011/08/10,13.042089788969443
2011/08/11,12.25646331618973
2011/08/12,11.238843729206675
2011/08/13,11.796817272939967
2011/08/14,13.148023877828297
2011/08/15,14.134143766892969
2011/08/16,14.044959074366677
