Date,bmo Index
2012-01-09,-0.25927286591542786
2012-01-10,-0.23528273675333555
2012-01-11,-0.17373343317542642
2012-01-12,-0.19080652337504825
2012-01-13,-0.24565934781163493
2012-01-14,-0.20087719839478246
2012-01-15,-0.16921292469058394
2012-01-16,-0.22220813433614245
2012-01-17,-0.38893286560673457
2012-01-18,-0.336620183207905
2012-01-19,-0.27228183188827393
2012-01-20,-0.26861785232148405
2012-01-21,-0.3038308853073032
2012-01-22,-0.28570454651176114
2012-01-23,-0.283623826892066
2012-01-24,-0.2942166039809748
2012-01-25,-0.3686665470156858
2012-01-26,-0.4506618825581642
2012-01-27,-0.46586020220010715
2012-01-28,-0.41067970216295907
2012-01-29,-0.45360072076087943
2012-01-30,-0.43760641030520303
2012-01-31,-0.4393435242903374
2012-02-01,-0.3515583706991373
2012-02-02,-0.35497460512157464
2012-02-03,-0.3844890683003316
2012-02-04,-0.40519356055107936
2012-02-05,-0.44441320015901886
2012-02-06,-0.4879850267468685
2012-02-07,-0.47492739880816603
2012-02-08,-0.4906106592463707
2012-02-09,-0.4576462742562388
2012-02-10,-0.4547015241650575
2012-02-11,-0.5127613578233086
2012-02-12,-0.5334299601312122
2012-02-13,-0.57367108689885
2012-02-14,-0.7378004910514672
2012-02-15,-0.7769416186016946
2012-02-16,-0.7819648715532435
2012-02-17,-0.7570063663905618
2012-02-18,-0.793902303752235
2012-02-19,-0.7624833047611319
2012-02-20,-0.7625171437356794
2012-02-21,-0.771429355330478
2012-02-22,-0.7332255540007158
2012-02-23,-0.613832168665193
2012-02-24,-0.6051946162563466
2012-02-25,-0.6469499691864325
2012-02-26,-0.6157705067300093
2012-02-27,-0.6056575221541988
2012-02-28,-0.6213238808414855
2012-02-29,-0.6166101755075377
2012-03-01,-0.6052143134763607
2012-03-02,-0.6443481910333542
2012-03-03,-0.6613588215535389
2012-03-04,-0.6196877381922921
2012-03-05,-0.5886584068973193
2012-03-06,-0.5837677938977464
2012-03-07,-0.5959037793407503
2012-03-08,-0.591816087673995
2012-03-09,-0.6008576538086599
2012-03-10,-0.6792207724213863
2012-03-11,-0.5935429754539537
2012-03-12,-0.588662476832771
2012-03-13,-0.5194857597974009
2012-03-14,-0.4979046240552336
2012-03-15,-0.5291076087556216
2012-03-16,-0.500755140941421
2012-03-17,-0.5228896309066978
2012-03-18,-0.5009004004853728
2012-03-19,-0.6047940540617162
2012-03-20,-0.5734760593317244
2012-03-21,-0.5766265986116799
2012-03-22,-0.5897104366215736
2012-03-23,-0.6015741806899046
2012-03-24,-0.6045573931846551
2012-03-25,-0.6308453016917189
2012-03-26,-0.6175313957897816
2012-03-27,-0.5813983042983766
2012-03-28,-0.5811575877556988
2012-03-29,-0.5905295786964727
2012-03-30,-0.5615237401788105
2012-03-31,-0.5505759949182836
2012-04-01,-0.5593849848669845
2012-04-02,-0.5247765539648691
2012-04-03,-0.5260755464636073
2012-04-04,-0.5271318359149446
2012-04-05,-0.5233078108147647
2012-04-06,-0.5179441720122309
2012-04-07,-0.5652069106496541
2012-04-08,-0.541644014913033
2012-04-09,-0.5289921122510582
2012-04-10,-0.5305414894050728
2012-04-11,-0.5143768351323006
2012-04-12,-0.5228370712633915
2012-04-13,-0.5197637067404888
2012-04-14,-0.5186985646249616
2012-04-15,-0.5222724744485618
2012-04-16,-0.5326507318575462
2012-04-17,-0.5351185552238819
2012-04-18,-0.5169795354923047
2012-04-19,-0.524004867709632
2012-04-20,-0.47942742949634526
2012-04-21,-0.5050639518508259
2012-04-22,-0.5170014456489069
2012-04-23,-0.5630763902280628
2012-04-24,-0.5531339520638058
2012-04-25,-0.5544527678427311
2012-04-26,-0.5682284472428374
2012-04-27,-0.5785863357733574
2012-04-28,-0.6154742751947916
2012-04-29,-0.6496105539222639
2012-04-30,-0.6556849162476935
2012-05-01,-0.6584507822151183
2012-05-02,-0.6687896309206628
2012-05-03,-0.6709724663182466
2012-05-04,-0.6910163099918627
2012-05-05,-0.6986908699283796
2012-05-06,-0.7050996591157777
2012-05-07,-0.6997180233233267
2012-05-08,-0.7095498501287927
2012-05-09,-0.7245106359555064
2012-05-10,-0.760840598876903
2012-05-11,-0.7564322758050388
2012-05-12,-0.776023134273142
2012-05-13,-0.8033975763220449
2012-05-14,-0.8068384508010655
2012-05-15,-0.817927653463607
2012-05-16,-0.8364272332723987
2012-05-17,-0.8326427178690898
2012-05-18,-0.8306122907477542
2012-05-19,-0.8321748739147286
2012-05-20,-0.823846366564698
2012-05-21,-0.8177828352664096
2012-05-22,-0.8161728487073686
2012-05-23,-0.8025209596553222
2012-05-24,-0.8031623735284722
2012-05-25,-0.8043125107126743
2012-05-26,-0.8147908941502091
2012-05-27,-0.8257404776760551
2012-05-28,-0.8270083989684658
2012-05-29,-0.828807820224337
2012-05-30,-0.8371838234877197
2012-05-31,-0.8270177784536905
2012-06-01,-0.8164310188571524
2012-06-02,-0.8212306483024268
2012-06-03,-0.8439158651751626
2012-06-04,-0.8619961389256008
2012-06-05,-0.8585620954060491
2012-06-06,-0.8746377502244309
2012-06-07,-0.8974353382880415
2012-06-08,-0.9626077706379386
2012-06-09,-1.052031003327069
2012-06-10,-1.0946398677512907
2012-06-11,-1.060490962569982
2012-06-12,-1.0385630379382778
2012-06-13,-1.0000841752096306
2012-06-14,-0.9802214101448389
2012-06-15,-0.8718998187638943
2012-06-16,-0.8627490547460077
2012-06-17,-0.8814388161583676
2012-06-18,-0.8624947902278537
2012-06-19,-0.8218966397652376
2012-06-20,-0.7851267914712496
2012-06-21,-0.7773969061011512
