Date,rhodl Index
2010-08-17,0.19768584894587235
2010-08-18,0.3765371066876411
2010-08-19,0.55947437296653
2010-08-20,0.7127538803587297
2010-08-21,0.9347450195095702
2010-08-22,1.1652101390348877
2010-08-23,1.2039140174874259
2010-08-24,1.3755342921355822
2010-08-25,1.4494656429349093
2010-08-26,1.5791072229686836
2010-08-27,1.7403512894118467
2010-08-28,1.6344093616126854
2010-08-29,1.8033932824116992
2010-08-30,1.9218848385177847
2010-08-31,2.2618584018910872
2010-09-01,2.586589034438599
2010-09-02,2.7456396232407565
2010-09-03,2.758002642623355
2010-09-04,2.9266875790510425
2010-09-05,4.424038316923291
2010-09-06,4.854893352728849
2010-09-07,4.82807466179595
2010-09-08,4.78519557687293
2010-09-09,5.190442693790259
2010-09-10,5.279766486723572
2010-09-11,5.318605061732435
2010-09-12,5.353736755300899
2010-09-13,5.345547784888434
2010-09-14,5.628456326329109
2010-09-15,6.149741089637055
2010-09-16,6.411430851517553
2010-09-17,7.645661674556143
2010-09-18,8.492035426933478
2010-09-19,8.91732529350183
2010-09-20,7.459254547771993
2010-09-21,7.524392973329416
2010-09-22,7.687776946044108
2010-09-23,9.475732958948129
2010-09-24,8.661318162465115
2010-09-25,8.684886021850486
2010-09-26,8.737781502343637
2010-09-27,9.623771075139349
2010-09-28,12.403996935778231
2010-09-29,12.729561615668162
2010-09-30,10.785163891536317
2010-10-01,12.650999938110619
2010-10-02,18.887181534388024
2010-10-03,19.258979448719533
2010-10-04,21.153641098833933
2010-10-05,22.724904401318092
2010-10-06,23.50304405825146
2010-10-07,24.83432850041
2010-10-08,27.464282083334442
2010-10-09,24.512881981376538
2010-10-10,27.75092839763617
2010-10-11,29.051981621462662
2010-10-12,29.88024083539819
2010-10-13,32.323341084157136
2010-10-14,33.90837141053915
2010-10-15,35.38861089563315
2010-10-16,32.1674678003263
2010-10-17,30.512119981121486
2010-10-18,31.991782430922896
2010-10-19,30.350096514506447
2010-10-20,32.37390223395033
2010-10-21,33.2115866298695
2010-10-22,33.332256122782226
2010-10-23,30.09255432084292
2010-10-24,35.97654957249953
2010-10-25,39.586024278536854
2010-10-26,44.94102847191326
2010-10-27,54.652044665176184
2010-10-28,62.33982713232527
2010-10-29,64.99145566300479
2010-10-30,69.85467955660685
2010-10-31,73.12568202717318
2010-11-01,74.17014953893184
2010-11-02,73.75402976186272
2010-11-03,63.873177419104515
2010-11-04,75.02881536747299
2010-11-05,77.51432909225264
2010-11-06,122.76232522913871
2010-11-07,132.31781860475095
2010-11-08,158.6268395091699
2010-11-09,158.86935005502139
2010-11-10,161.65315011085158
2010-11-11,154.7331491162124
2010-11-12,153.59620409626217
2010-11-13,149.37642202542656
2010-11-14,148.84782043648286
2010-11-15,71.27118806547702
2010-11-16,71.87969394329225
2010-11-17,73.18722048948158
2010-11-18,79.06113776753193
2010-11-19,83.50707158538718
2010-11-20,88.40339520757169
2010-11-21,87.14194519359029
2010-11-22,71.24793240825261
2010-11-23,76.6805259297109
2010-11-24,76.52496776760891
2010-11-25,79.7840956837022
2010-11-26,104.76445920350177
2010-11-27,107.29103881097616
2010-11-28,104.10544131626091
2010-11-29,103.73243391671531
2010-11-30,105.18313685086466
2010-12-01,107.9828978960566
2010-12-02,110.43407614790247
2010-12-03,84.68599729936768
2010-12-04,87.70961017227557
2010-12-05,90.19873565167134
2010-12-06,115.44900543172317
2010-12-07,119.6583766808131
2010-12-08,116.96781249905328
2010-12-09,106.63973339418948
2010-12-10,102.89746198749053
2010-12-11,104.70935658340613
2010-12-12,104.57228031917276
2010-12-13,95.2849032332449
2010-12-14,81.02771145241368
2010-12-15,86.35753910541591
2010-12-16,87.63170323408555
2010-12-17,89.06544193085804
2010-12-18,85.75229022557365
2010-12-19,102.16430323203527
2010-12-20,93.29438212520444
2010-12-21,104.62277044077123
2010-12-22,101.99518598407434
2010-12-23,102.74468913828025
2010-12-24,103.1156837002606
2010-12-25,100.35993873959643
2010-12-26,82.82766386460476
2010-12-27,92.84523237195431
2010-12-28,85.14503544672642
2010-12-29,114.2278952878249
2010-12-30,123.86243684807374
2010-12-31,131.27295632699736
2011-01-01,127.8678676762341
2011-01-02,136.77374076811594
2011-01-03,131.48544566499962
2011-01-04,125.74606410772124
2011-01-05,95.62095747192487
2011-01-06,84.87406893740327
2011-01-07,87.15253961021897
2011-01-08,97.83857103761699
2011-01-09,97.17152615455517
2011-01-10,109.03252419861894
2011-01-11,145.0605111786331
2011-01-12,143.62068530901504
2011-01-13,182.33001267960373
2011-01-14,197.97084371181714
2011-01-15,197.78775682605163
2011-01-16,210.59347739423532
2011-01-17,210.43534293632766
2011-01-18,198.49566989929917
2011-01-19,215.893052137954
2011-01-20,219.01086229918187
2011-01-21,211.16952966237736
2011-01-22,229.01325752198534
2011-01-23,261.62970432214695
2011-01-24,268.22056735534153
2011-01-25,239.91334182364207
2011-01-26,251.4940864904028
2011-01-27,656.6171507329801
2011-01-28,660.5282781882487
2011-01-29,678.4352614954405
2011-01-30,650.4392826087615
2011-01-31,700.4485546582621
2011-02-01,785.8151462676966
2011-02-02,880.2995151768902
2011-02-03,470.61567299796604
2011-02-04,510.441411905653
2011-02-05,571.0357523665103
2011-02-06,644.6806422266392
2011-02-07,736.6761947447918
2011-02-08,665.2283240538562
2011-02-09,709.303610696488
2011-02-10,741.0730729408344
2011-02-11,797.559409442076
2011-02-12,777.52110327846
2011-02-13,759.0099287704587
2011-02-14,768.0743353623799
2011-02-15,785.3154367983436
2011-02-16,683.058984545348
2011-02-17,652.7442972560219
