Date,MA110,MA350MU2,Distance_To_Top_Pct
2013-03-13,20.45380187782333,24.660696088269468,-17.06
2013-03-14,20.76592147182356,24.90144749387727,-16.61
2013-03-15,21.076636001986227,25.141682396113303,-16.17
2013-03-16,21.388593895768377,25.383209475121404,-15.74
2013-03-17,21.705250414181297,25.626296184300664,-15.30
2013-03-18,22.0584590718992,25.891338418086892,-14.80
2013-03-19,22.483386470857965,26.20300909190721,-14.20
2013-03-20,22.944556055045087,26.538835625167298,-13.54
2013-03-21,23.470064037727916,26.915959486655503,-12.80
2013-03-22,23.98586311584987,27.286799355853134,-12.10
2013-03-23,24.453297094354088,27.627790238483172,-11.49
2013-03-24,24.985130124710295,28.010142269096114,-10.80
2013-03-25,25.53417967126913,28.407065365487533,-10.11
2013-03-26,26.122480997484587,28.828624107420126,-9.39
2013-03-27,26.80152744229085,29.308263131401254,-8.55
2013-03-28,27.46995889734848,29.781246078907305,-7.76
2013-03-29,28.16181218517868,30.269024893906057,-6.96
2013-03-30,28.87211352840034,30.767502581490593,-6.16
2013-03-31,29.596500752203916,31.275717656260568,-5.37
2013-04-01,30.406995628283973,31.83931526964289,-4.50
2013-04-02,31.335029237280065,32.477664982406175,-3.52
2013-04-03,32.394754983743184,33.19915316489268,-2.42
2013-04-04,33.47048649926542,33.929874387546086,-1.35
2013-04-05,34.63350557313298,34.71421467051679,-0.23
2013-04-06,35.802415139694865,35.50163908552222,0.85
2013-04-07,37.14955155974321,36.40253397456288,2.05
2013-04-08,38.70882298297708,37.43819268117054,3.39
2013-04-09,40.66507932095181,38.72730770650076,5.00
2013-04-10,41.995015020363674,39.618988126018166,6.00
2013-04-11,42.6208944531173,40.06358335888783,6.38
2013-04-12,43.50422021240668,40.67147184948314,6.96
2013-04-13,44.26359828550024,41.20083376501124,7.43
2013-04-14,44.9431913371059,41.680598823423196,7.83
2013-04-15,45.55138166288346,42.11449925974281,8.16
2013-04-16,46.0453315701765,42.476190696884,8.40
2013-04-17,46.76123007226948,42.977965551510366,8.80
2013-04-18,47.61864302606079,43.56944824930113,9.29
2013-04-19,48.57033923667994,44.22045839873421,9.84
2013-04-20,49.60424261590604,44.924182109182574,10.42
2013-04-21,50.549627222326606,45.57238464051596,10.92
2013-04-22,51.56749118933395,46.26522301704598,11.46
2013-04-23,52.72827147077729,47.04867302636217,12.07
2013-04-24,53.996282251462404,47.9006271496134,12.73
2013-04-25,55.14544385622701,48.67823383852048,13.29
2013-04-26,56.26031046571201,49.43392464104698,13.81
2013-04-27,57.293843556678794,50.138382568876985,14.27
2013-04-28,58.38454182608291,50.879404137493516,14.75
2013-04-29,59.55598351582496,51.672540950468374,15.26
2013-04-30,60.68489065356117,52.438803848439484,15.73
2013-05-01,61.60372514171151,53.07323822861816,16.07
2013-05-02,62.43357526400446,53.65181721725137,16.37
2013-05-03,63.17323791822121,54.172951724630515,16.61
2013-05-04,64.05915546868957,54.786580813532574,16.92
2013-05-05,64.97961263541679,55.42312089843865,17.24
2013-05-06,65.86073838716092,56.03468875492525,17.54
2013-05-07,66.7337239621658,56.643374890266315,17.81
2013-05-08,67.61243983707695,57.26055890715201,18.08
2013-05-09,68.47963570722821,57.87116104973195,18.33
2013-05-10,69.39948174762397,58.51432539302994,18.60
2013-05-11,70.29840233794309,59.14515852936125,18.86
2013-05-12,71.18222806802298,59.772307440358986,19.09
2013-05-13,72.08406840863037,60.41383961879933,19.32
2013-05-14,72.89784472526466,61.00079445235031,19.50
2013-05-15,73.72744622394306,61.594214954385876,19.70
2013-05-16,74.58790272863712,62.20985057912329,19.90
2013-05-17,75.48638008753773,62.849951563443234,20.11
2013-05-18,76.39003097641593,63.495244349843844,20.31
2013-05-19,77.27507255580947,64.13422249385654,20.49
2013-05-20,78.1606934772847,64.77742175449943,20.66
2013-05-21,79.03920333517037,65.41642762088166,20.82
2013-05-22,79.92628919599933,66.06518193037151,20.98
2013-05-23,80.85676725089058,66.74026185173915,21.15
2013-05-24,81.84176886304512,67.44511071775567,21.35
2013-05-25,82.8171380123335,68.14961307729145,21.52
2013-05-26,83.80558948214464,68.86218854895547,21.70
2013-05-27,84.75814408732785,69.55250802850627,21.86
2013-05-28,85.70135156240958,70.23923433689068,22.01
2013-05-29,86.66934297872932,70.9458372572714,22.16
2013-05-30,87.60380877450531,71.63470037269431,22.29
2013-05-31,88.54149011452036,72.32780384798694,22.42
2013-06-01,89.48645283275583,73.02692952112379,22.54
2013-06-02,90.37050180795606,73.6922251922902,22.63
2013-06-03,91.25310947907721,74.35873001076561,22.72
2013-06-04,92.11390513490558,75.00841653657007,22.80
2013-06-05,92.95703607207133,75.66085295251395,22.86
2013-06-06,93.78480820216754,76.3030341706053,22.91
2013-06-07,94.53121872362382,76.89522828343823,22.94
2013-06-08,95.27222137195656,77.48226259002251,22.96
2013-06-09,95.92965142430991,78.0168517866494,22.96
2013-06-10,96.60482207518316,78.57708088949316,22.94
2013-06-11,97.3047113835456,79.1546503730767,22.93
2013-06-12,97.994441540216,79.72472124681805,22.92
2013-06-13,98.6327410103799,80.26605743589045,22.88
2013-06-14,99.25802740457539,80.79494010757283,22.85
2013-06-15,99.88858766504949,81.32748073489853,22.82
2013-06-16,100.507383324163,81.85554639869414,22.79
2013-06-17,101.12874159203754,82.38916255317356,22.75
2013-06-18,101.78683992806673,82.9482436044819,22.71
2013-06-19,102.42685665646697,83.5076854070869,22.66
2013-06-20,103.05493992379718,84.06586312767803,22.59
2013-06-21,103.66100606316039,84.60726127741502,22.52
2013-06-22,104.25188685586366,85.14001119034481,22.45
2013-06-23,104.82790919228775,85.67440220123568,22.36
2013-06-24,105.35378963585451,86.20019241460797,22.22
2013-06-25,105.84521119022237,86.7182164642331,22.06
2013-06-26,106.3560603798075,87.24088248120896,21.91
2013-06-27,106.83264615173636,87.75087113234531,21.75
2013-06-28,107.215852639204,88.21826304928945,21.53
2013-06-29,107.60081887883321,88.68236111717289,21.33
2013-06-30,107.97204260026676,89.15009639029638,21.11
2013-07-01,108.31847525680921,89.57509161576519,20.92
2013-07-02,108.68604530937289,90.0268886548,20.73
2013-07-03,108.96321439268058,90.41886658688315,20.51
2013-07-04,109.25359595653596,90.82032565786756,20.30
2013-07-05,109.43639422818576,91.15698379028804,20.05
2013-07-06,109.60763910300213,91.48536113341568,19.81
2013-07-07,109.79452276049425,91.84880661815143,19.54
2013-07-08,109.92506287453298,92.22284857529596,19.20
2013-07-09,110.02600364365591,92.60180472215411,18.82
2013-07-10,110.15299602320265,93.03748661850878,18.40
2013-07-11,110.31201822900927,93.48675395759537,18.00
2013-07-12,110.54322167354674,93.95049817942386,17.66
2013-07-13,110.72252053561422,94.4233555337196,17.26
2013-07-14,110.86286449981513,94.88703889724303,16.84
2013-07-15,110.99963887017877,95.37108367034814,16.39
2013-07-16,111.02602585880798,95.84228388320278,15.84
2013-07-17,111.0562797083191,96.30778862807546,15.31
2013-07-18,111.008225922366,96.73299256762627,14.76
2013-07-19,110.95461181976543,97.16340930964347,14.19
2013-07-20,110.87363542988754,97.5862158483059,13.62
2013-07-21,110.71223005466837,98.01398289335891,12.96
2013-07-22,110.4326722564436,98.44129479128158,12.18
2013-07-23,110.03260241242413,98.87578494700674,11.28
2013-07-24,109.62849980063292,99.31624974112214,10.38
2013-07-25,109.15588742890994,99.76803469816647,9.41
2013-07-26,108.67752853709176,100.21681422484426,8.44
2013-07-27,108.00467323335492,100.65465845532935,7.30
2013-07-28,107.16138206533245,101.11839153994488,5.98
2013-07-29,105.92368567396183,101.5830414500175,4.27
2013-07-30,105.34230426163775,102.06574119522917,3.21
2013-07-31,105.47854601742041,102.5506231528062,2.86
2013-08-01,105.34423650959874,103.02557873567001,2.25
2013-08-02,105.33041181422541,103.50556459362107,1.76
2013-08-03,105.39027864419683,103.98516003568838,1.35
2013-08-04,105.52983530192817,104.49107352330131,0.99
2013-08-05,105.7932947173588,104.9913435643934,0.76
2013-08-06,105.83660255241128,105.49287627631458,0.33
2013-08-07,105.73233103713387,105.99162857527425,-0.24
2013-08-08,105.50931291579921,106.47259208581612,-0.90
2013-08-09,105.18737136485962,106.94047056664104,-1.64
2013-08-10,104.96043721293854,107.41309843076395,-2.28
2013-08-11,104.67176190330454,107.89153146875343,-2.98
2013-08-12,104.25121463054903,108.3746519870201,-3.80
2013-08-13,103.74333893037105,108.87080122445519,-4.71
2013-08-14,103.36597522111562,109.37510695959419,-5.49
2013-08-15,103.01369353389832,109.87441315559485,-6.24
2013-08-16,102.74400245869073,110.37834772951823,-6.92
2013-08-17,102.42874961924694,110.8904847092093,-7.63
2013-08-18,102.02665648006013,111.39878141515905,-8.41
2013-08-19,101.6992183244586,111.92613500352672,-9.14
2013-08-20,101.59459138704779,112.46405619834681,-9.66
2013-08-21,101.63477714419416,113.03420523184435,-10.08
2013-08-22,101.75375350958295,113.59627636222424,-10.43
2013-08-23,101.71050968279444,114.14839892941801,-10.90
2013-08-24,101.64198679285597,114.70748124376387,-11.39
2013-08-25,101.65067118220735,115.29045534616344,-11.83
2013-08-26,101.6552558846547,115.86755720925106,-12.27
2013-08-27,101.69691110006794,116.47608119673873,-12.69
2013-08-28,101.75405417814778,117.08752193084909,-13.10
2013-08-29,101.76436590192766,117.70155243904648,-13.54
2013-08-30,101.8489208743583,118.34815399321865,-13.94
2013-08-31,101.97047315724171,119.01478019632795,-14.32
2013-09-01,102.08877870101254,119.69277711507554,-14.71
2013-09-02,102.2842724410413,120.36510314110542,-15.02
2013-09-03,102.46621794733076,121.03323544273357,-15.34
2013-09-04,102.55280681849298,121.6619462121683,-15.71
2013-09-05,102.59862185474488,122.29053426010351,-16.10
2013-09-06,102.59584050091883,122.8935484805026,-16.52
2013-09-07,102.62089553959278,123.5084128339584,-16.91
2013-09-08,102.62304643917737,124.11350953851546,-17.32
2013-09-09,102.65914762598659,124.73719916097853,-17.70
2013-09-10,102.68831300082142,125.365959874092,-18.09
2013-09-11,102.71860192884938,126.02177936095181,-18.49
2013-09-12,102.69886898199252,126.67584777324704,-18.93
2013-09-13,102.68592150383057,127.33314084632711,-19.36
2013-09-14,102.63357804786727,127.97281928057275,-19.80
2013-09-15,102.62171779544653,128.61673239720963,-20.21
2013-09-16,102.62442113525624,129.26710537335057,-20.61
2013-09-17,102.60038904296523,129.91904829935206,-21.03
2013-09-18,102.60390932244987,130.570181950263,-21.42
2013-09-19,102.57115678586888,131.20628807344573,-21.82
2013-09-20,102.51827827059147,131.83582759611085,-22.24
2013-09-21,102.52622014379138,132.47013117984636,-22.60
2013-09-22,102.52780345211431,133.10585082579107,-22.97
2013-09-23,102.55190913026469,133.74089293583864,-23.32
2013-09-24,102.57828240810127,134.3807140458395,-23.67
2013-09-25,102.61936441656269,135.0178848465876,-24.00
2013-09-26,102.74988642571387,135.66141697602234,-24.26
2013-09-27,102.90688464561056,136.31614428793685,-24.51
2013-09-28,103.1491634589066,136.9725428473357,-24.69
2013-09-29,103.35412797309937,137.63230313157717,-24.91
2013-09-30,103.52154005759763,138.28477143048173,-25.14
2013-10-01,103.71250679639955,138.9460708947349,-25.36
2013-10-02,103.73756260907956,139.47284635054854,-25.62
2013-10-03,103.90298829133694,140.07655813447772,-25.82
